"","resolved_common_name","merged_common_names","merged_scientific_names"
"307","sweet bay","sweet bay","laurus nobilis"
"308","grass pea","grass pea","lathyrus sativus"
"309","common walnut","common walnut","juglans regia"
"310","saffron","saffron","crocus sativus"
"311","common hazelnut","common hazelnut","corylus avellana"
"312","coriander","coriander","coriandrum sativum"
"313","borage","borage","borago officinalis"
"314","common beet","common beet","beta vulgaris"
"315","brazil nut","brazil nut","bertholletia excelsa"
"316","star fruit","star fruit; starfruit; star fruit ()","averrhoa carambola"
"317","oat","oat; oats","avena sativa; avena; avena sp."
"318","asparagus","asparagus","asparagus officinalis; asparagus"
"319","mugwort","mugwort","artemisia vulgaris"
"320","tarragon","tarragon","artemisia dracunculus"
"321","horseradish","horseradish","armoracia rusticana; armoracia lapathifolia"
"322","burdock","burdock; burdocks","arctium lappa; arctium"
"323","napa cabbage","napa cabbage","brassica rapa var. pekinensis"
"324","wild celery","wild celery","apium graveolens"
"325","custard apple","custard apple","annona reticulata; annona cherimola; annona atemoya"
"326","dill","dill","anethum graveolens"
"327","pineapple","pineapple","ananas comosus"
"328","cashew nut","cashew nut","anacardium occidentale"
"329","lemon verbena","lemon verbena","aloysia triphylla"
"330","chives","chives; chive","allium schoenoprasum"
"331","garlic","garlic","allium sativum"
"332","leek","leek; leek ()","allium porrum; allium ampeloprasum"
"333","garden onion","garden onion; garden onion (var.)","allium cepa; allium cepa var. cepa"
"334","allium","allium","allium"
"335","kiwi","kiwi","actinidia chinensis"
"336","silver linden","silver linden","tilia argentea"
"337","savoy cabbage","savoy cabbage","brassica oleracea var. sabauda"
"338","angelica","angelica","angelica keiskei; angelica"
"339","sherry","sherry",""
"340","chinese mustard","chinese mustard","brassica juncea"
"341","swede","swede","brassica napus"
"342","rape","rape","brassica napus var. napus; brassica napus"
"343","common cabbage","common cabbage","brassica oleracea"
"344","robusta coffee","robusta coffee","coffea canephora"
"345","arabica coffee","arabica coffee","coffea arabica"
"346","sweet orange","sweet orange","citrus sinensis"
"347","mandarin orange (clementine, tangerine)","mandarin orange (clementine, tangerine)","citrus reticulata"
"348","pummelo","pummelo","citrus maxima; citrus grandis"
"349","lemon","lemon; lemon ()","citrus limon"
"350","lime","lime; lime ()","citrus aurantiifolia; citrus aurantifolia"
"351","watermelon","watermelon; watermelon ()","citrullus lanatus; citrullus lanatus subsp. vulgaris; citrullus vulgaris"
"352","ceylon cinnamon","ceylon cinnamon","cinnamomum verum"
"353","chinese cinnamon","chinese cinnamon","cinnamomum aromaticum; cinnamomum cassia"
"354","chicory","chicory","cichorium intybus"
"355","endive","endive","cichorium endivia"
"356","chickpea","chickpea","cicer arietinum"
"357","pot marjoram","pot marjoram","origanum onites"
"358","roman camomile","roman camomile","chamaemelum nobile"
"359","pecan nut","pecan nut","carya illinoinensis"
"360","caraway","caraway","carum carvi"
"361","safflower","safflower","carthamus tinctorius"
"362","papaya","papaya; papaya ()","carica papaya"
"363","pepper","pepper; pepper ()","capsicum annuum; piperaceae; capsicum"
"364","capers","capers; caper; capelin","capparis spinosa; capparis; mallotus villosus"
"365","pigeon pea","pigeon pea","cajanus cajan"
"366","turnip","turnip; turnip ()","brassica rapa var. rapa; brassica rapa subsp. rapa; brassica rapa sub rapa"
"367","chinese cabbage","chinese cabbage","brassica rapa; brassica rapa subsp. pekinensis; brassica rapa ssp. pekinensis"
"368","broccoli","broccoli","brassica oleracea var. italica; duke exp pmid 9416471 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297; dtu usda duke pmid 17071511 f. vallejo, f. tomas barberan, c. garcia viguera. glucosinolates and vitamin c content in edible parts of broccoli florets after domestic cooking. eur food res technol (2002) 215:310 316 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297; phenolex duke exp pmid 12720387 f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516; duke pmid 12720387 pmid 16713696 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 pmid 17071511 phytohub; phenolex pmid 12720387 f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516; duke pmid 12720387 pmid 16713696 f. vallejo, f. tomas barberan, c. garcia viguera. glucosinolates and vitamin c content in edible parts of broccoli florets after domestic cooking. eur food res technol (2002) 215:310 316 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 pmid 17071511 phytohub; phenolex pmid 9416471 f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516 phytohub; duke pmid 12720387 pmid 16713696 f. vallejo, f. tomas barberan, c. garcia viguera. glucosinolates and vitamin c content in edible parts of broccoli florets after domestic cooking. eur food res technol (2002) 215:310 316 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 pmid 17071511 phytohub inf; duke exp pmid 9416471 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 phytohub; phenolex f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516 phytohub"
"369","kohlrabi","kohlrabi","brassica oleracea var. gongylodes"
"370","brussel sprouts","brussel sprouts; brussels sprout; brussels sprouts; brussels sprout ()","brassica oleracea var. gemmifera"
"371","cauliflower","cauliflower","brassica oleracea var. botrytis"
"372","chestnut","chestnut; chestnut ()","castanea"
"373","common oregano","common oregano","origanum vulgare"
"374","peanut","peanut","arachis hypogaea"
"375","millet","millet","panicum miliaceum; millet"
"376","deerberry","deerberry","vaccinium stamineum; maianthemum dilatatum"
"377","european cranberry","european cranberry","vaccinium oxycoccos; vaccinium oxycoccus"
"378","chinese chives","chinese chives","allium tuberosum; allium odorum"
"379","celery stalks","celery stalks; celery stalk ()","apium graveolens var. dulce"
"380","celeriac","celeriac","apium graveolens var. rapaceum"
"381","buffalo currant","buffalo currant","ribes aureum var. villosum"
"382","bog bilberry","bog bilberry","vaccinium uliginosum"
"383","canada blueberry","canada blueberry","vaccinium myrtilloides"
"384","elliott's blueberry","elliott's blueberry","vaccinium elliottii"
"385","bayberry","bayberry","myrica"
"386","banana","banana","musa acuminata; musa; musa paradisiaca; musa sapientum; musa cavendish"
"387","arctic blackberry","arctic blackberry","rubus arcticus"
"388","ginger","ginger","zingiber officinale"
"389","corn","corn; corn oil; coral","zea mays; zea mays sub mays; zea mays subsp. mays; cornus; rumphella antipathies"
"390","common grape","common grape","vitis vinifera"
"391","muscadine grape","muscadine grape; muscadine grape ()","vitis rotundifolia"
"392","cowpea","cowpea; cowpea ()","vigna unguiculata"
"393","climbing bean","climbing bean","vigna umbellata"
"394","mung bean","mung bean","vigna radiata; phaseolus aureus"
"395","gram bean","gram bean","vigna mungo"
"396","adzuki bean","adzuki bean","vigna angularis"
"397","broad bean","broad bean","vicia faba"
"398","common verbena","common verbena","verbena officinalis"
"399","vanilla","vanilla","vanilla; vanilla planifolia"
"400","lingonberry","lingonberry; lingonberry ()","vaccinium vitis idaea"
"401","bilberry","bilberry","vaccinium myrtillus"
"402","american cranberry","american cranberry","vaccinium macrocarpon"
"403","ginseng","ginseng","panax; panax ginseng"
"404","cascade huckleberry","cascade huckleberry","vaccinium deliciosum"
"405","oval leaf huckleberry","oval leaf huckleberry","vaccinium ovalifolium"
"406","evergreen huckleberry","evergreen huckleberry","vaccinium ovatum"
"407","rice","rice","oryza sativa"
"408","komatsuna","komatsuna","brassica rapa var. perviridis"
"409","chicory leaves","chicory leaves","cichorium intybus var. foliosum"
"410","celery leaves","celery leaves","apium graveolens var. secalinum"
"411","half highbush blueberry","half highbush blueberry","vaccinium angustifolium x vaccinium corymbosum"
"412","black cabbage","black cabbage","brassica oleracea var. viridis"
