,food_com,food_sci,synonyms_open_tree_of_life,synonyms_wiki_search,synonyms_ncbi,synonyms_all_sources
1087901,,fargesia_robusta,Thamnocalamus robustus,walking-stick bamboo; robust bamboo,"Fargesia robusta T.P.Yi, 1985",
1087905,,balsamorhiza_deltoidea,Balsamorhiza deltoidea deltoidea; Balsamorhiza deltoidea glabrescens; Balsamorhiza glabrescens,deltoid balsamroot,"Balsamorhiza deltoidea Nutt., 1840",
1087918,,calophyllum_soulattri,Apoterium sulatri; Calophyllum cholobtaches; Calophyllum cymosum; Calophyllum diepenhorstii; Calophyllum hibbardii; Calophyllum hirtellum; Calophyllum kiong; Calophyllum lanceolatum; Calophyllum lancifolium; Calophyllum oblongum; Calophyllum odoratissimum; Calophyllum paludosum; Calophyllum solomonense; Calophyllum sorsogonense; Calophyllum spectabile ceramicum; Calophyllum spectabile miquelii; Calophyllum tetrapetalum; Calophyllum treubii; Calophyllum versteegii; Calophyllum zschokkei,,"Calophyllum soulattri Burm.f., 1768",
1087949,,xenia,Xaenia; Xoenia,,"Avonia; Talinaria; Xenia; Anacampseros L., 1758; Avonia (E.Mey. ex Fenzl) G.D.Rowley, 1994; Talinaria Brandegee, 1908; Xenia Gerbaulet, 1992",
1087950,,calea_hispidag,,,,
1087951,,ageratina_riparia,Ageratina repens; Ageratina ventillana; Eupatorium harrisii; Eupatorium riparium; Eupatorium ventillanum; Fleischmannia repens,Creeping crofton weed; Mist flower,"Eupatorium riparium; Ageratina riparia (Regel) R.M.King & H.Rob., 1970; Eupatorium riparium Regel, 1866",
1087952,,lagascea_rigida,Calhounia rubra; Lagascea rubra; Nocca rigida; Nocca rubra; Noccaea rubra,,"Nocca rigida; Lagascea rigida (Cav.) Stuessy, 1978; Nocca rigida Cav., 1795",
1087954,,magnolia_ovata,Magnolia brasiliensis; Magnolia gloriensis; Magnolia paranaensis; Talauma dubia; Talauma gloriensis; Talauma ovata,,"Magnolia gloriensis; Talauma gloriensis; Talauma ovata; Magnolia gloriensis (Pittier) Govaerts; Magnolia ovata (A.St.-Hil.) Spreng., 1827; Talauma gloriensis Pittier; Talauma ovata A.St.-Hil., 1824",
1087960,american_lotus,nelumbo_lutea,Nelumbium luteum; Nelumbium pentapetalum; Nelumbo nucifera lutea; Nelumbo nucifera subsp. lutea; Nelumbo pentapetala; Nelumbo sp. 179N; Nymphaea pentapetalum,Yellow lotus; Water-chinquapin; Volée; Volee; American lotus,"Nelumbo nucifera subsp. lutea; Nelumbo pentapetala; Nymphaea pentapetala; American lotus; yellow lotus; Nelumbo lutea Willd., 1799; Nelumbo nucifera subsp. lutea (Willd.) Borsch & Barthlott, 1996; Nelumbo pentapetala (Walter) Fernald, 1934; Nymphaea pentapetala Walter, 1788; BM:collector:W.Bartram:",
1087961,,machilus_kusanoi,Machilus kusanoi,,"Machilus kusanoi; Persea kusanoi; Machilus japonica var. kusanoi (Hayata) J.C.Liao, 1982; Machilus kusanoi Hayata, 1911; Persea kusanoi (Hayata) H.L.Li, 1963",
1087962,,magnolia_kachirachirai,Michelia kachirachirai; Micheliopsis kachirachirai; Pachylarnax kachirachirai; Parakmeria kachirachirai,,"Michelia kachirachirai; Magnolia kachirachirai (Kaneh. & Yamam.) Dandy, 1927; Michelia kachirachirai Kaneh. & Yamam., 1926",
1088505,,hypoxis_hemerocallidea,Hypoxis elata; Hypoxis obconica; Hypoxis patula; Hypoxis rooperi; Hypoxis rooperi forbesii,,"Hypoxis hemerocallidea Fisch., C.A.Mey. & Avé-Lall., 1842",
1088517,,eremanthus_incanus,Albertinia bicolor; Albertinia incana; Vernonia incana,,"Eremanthus incanus Less., 1831",
1088518,,coreopsis_parvifolia,Coreopsis parvifolia; Electra parvifolia,,,
1088519,,lychnophora,Haplostephium; Lychnocephalus,Haplostephium,Lychnophora Mart.,
1088526,,epimedium_sempervirens,Epimedium hypoleucum; Epimedium macranthum hypoleucum; Epimedium sempervirens hypoleucum,,"Epimedium sempervirens Nakai ex F.Maek., 1932",
1088536,medics,medicago_varia,Medica sativa; Medicago afganica; Medicago caerulea; Medicago caerulea pauciflora; Medicago coerulea; Medicago grandiflora; Medicago hemicycla; Medicago karatschaica; Medicago ladak; Medicago lavrenkoi; Medicago media; Medicago mesopotamica; Medicago ochroleuca; Medicago orientalis; Medicago pauciflora; Medicago polia; Medicago praesativa; Medicago rivularis; Medicago sativa pilifera; Medicago sativa subsp. sativa; Medicago sogdiana; Medicago subdicycla; Medicago sylvestris; Medicago tianschanica; Medicago trautvetteri; Medicago varia; Trigonella upendrae,Medicago ×varia,"Medicago sativa nothosubsp. hemicycla; Medicago sativa subsp. caerulea x Medicago falcata; Medicago sativa subsp. hemicycla; Medicago sativa subsp. sativa x Medicago sativa subsp. falcata; Medicago sativa subsp. x hemicycla; Medicago sativa subsp. x varia; Medicago sativa nothosubsp. varia; Medicago sativa subsp. falcata x Medicago sativa subsp. sativa; Medicago sativa subsp. varia; Medicago sativa x Medicago falcata; Medicago sativa subsp. x hemicycla (Grossh.) C.R.Gunn; Medicago sativa subsp. x varia (Martyn) Arcang., 1882; Medicago x varia Martyn, 1793; Medicago sativa ssp. varia; Medicago varia; Medicago xvaria",
1088537,,cistus_laurifolius,Cistus laurifolius atlanticus; Ladanium laurifolium,,"Cistus laurifolius L., 1753",
1088540,,magnolia_praecocissima,,,"Magnolia praecocissima Koidz., 1929",
1088566,,senecio_cathcartensis,,,"Senecio cathcartensis O.Hoffm., 1898",
1088570,,euonymus_sieboldianus,Euonymus hamiltonianus subsp. sieboldianus; Euonymus sieboldianus,,"Euonymus hamiltonianus subsp. sieboldianus; Euonymus sieboldianus; Euonymus hamiltonianus subsp. sieboldianus (Blume) H.Hara, 1966; Euonymus hamiltonianus var. sieboldianus (Blume) Kom., 1904; Euonymus sieboldianus Blume, 1827; Euonymus sieboldiana",
1089134,,epimedium_acuminatum,Epimedium chlorandrum; Epimedium komarovii,,"Epimedium acuminatum Franch., 1886",
1089144,,parkia_javanica,Gleditsia javanica,,"Gleditsia javanica; Gleditsia javanica Lam., 1788; Parkia javanica (Lam.) Merr., 1918",
1089147,,acacia_raddiana,Acacia raddiana; Acacia tortilis raddiana; Acacia tortilis subsp. raddiana,umbrella thorn; Vachellia tortilis,"Acacia raddiana; Acacia tortilis raddiana; Acacia tortilis subsp. raddiana; Acacia raddiana Savi, 1830; Acacia tortilis subsp. raddiana (Savi) Brenan; Vachellia tortilis subsp. raddiana (Savi) Kyal. & Boatwr., 2013",
1089148,,bredia_tuberculata,Fordiophyton tuberculatum,,"Fordiophyton tuberculatum; Bredia tuberculata (Guillaumin) Diels, 1933; Fordiophyton tuberculatum Guillaumin, 1913",
1089149,,reaumuria_hirtella,,,"Reaumuria hirtella Jaub. & Spach, 1848",
1089150,,tamarix_pakistanica,,,"Tamarix pakistanica Qaiser, 1981",
1089165,,corynebacterium_pseudodiphtheriticum,'Corynebacterium pseudodiphteriticum'; Bacillus pseudodiphtheriticus; Bacterium pseudodiphtheriticum; Corynebacterium hofmannii; Corynebacterium pseudodiphthericum; Mycobacterium pseudodiphthericum,,"'Corynebacterium pseudodiphteriticum'; Bacillus pseudodiphtheriticus; Bacterium pseudodiphtheriticum; Corynebacterium hofmannii; Corynebacterium pseudodiphthericum; Mycobacterium pseudodiphthericum; ""Bacillus pseudodiphtheriticus"" (Lehmann and Neumann 1896) Kruse 1896; ""Bacterium pseudodiphtheriticum"" (Lehmann and Neumann 1896) Migula 1900; ""Corynebacterium hofmannii"" Holland 1920; ""Corynebacterium pseudodiphthericum"" (sic) (Lehmann and Neumann 1896) Bergey et al. 1925; ""Mycobacterium pseudodiphthericum"" (sic) (Lehmann and Neumann 1896) Chester 1901; Corynebacterium pseudodiphtheriticum Lehmann and Neumann 1896; Corynebacterium pseudodiphtheriticum Lehmann and Neumann 1896 emend. Nouioui et al. 2018; ATCC 10700; ATCC 7091; ATCC:10700; ATCC:7091; CCUG 27539; CCUG:27539; CIP 103420; CIP:103420; DSM 44287; DSM:44287; IFO 15362; IFO:15362; JCM 11665; JCM:11665; NBRC 15362; NBRC:15362; NCTC 11136; NCTC:11136; Corynebacterium pseudodiphteriticum",
1089172,,silphium,,silphion; laserwort,Silphium L.,
1089181,,onosma_argentatum,,,,
1089186,,dacrydium_bidwillii,Dacrydium bidwillii,Mountain Pine,"Dacrydium bidwillii; Dacrydium bidwillii Hook.f. ex. Kirk, 1878; Halocarpus bidwillii (Hook.f. ex Kirk) C.J.Quinn, 1982",
1089195,,scabiosa_songorica,,,,
1089283,,tilia_japonica,Tilia cordata japonica; Tilia eurosinica; Tilia ulmifolia japonica,Japanese lime; Japanese linden,"Tilia japonica Simonk., 1888",
1089290,,isodon_oresbius,Plectranthus oresbius; Rabdosia oresbia,,"Isodon oresbius Kudô, 1929",
1089324,,veronica_polita,Pocilla polita; Veronica agrestis didyma; Veronica agrestis polita; Veronica alsiphila; Veronica didyma; Veronica nitidula; Veronica polita ludwigiana,,"Veronica didyma; Veronica didyma Ten.; Veronica polita Fr., 1822",
1089341,,agelas_dispar,Agelas clavaeformis; Agelas sparsus; Agelas sparsus clavaeformis; Ectyon clavaeformis; Ectyon sparsus; Ectyon sparsus clavaeformis,,"Agelas dispar Duchassaing & Michelotti, 1864",
1089344,,polyalthia_cauliflora,Desmos desmanthus; Guatteria palembanica; Guatteria tessmannii; Guatteria teysmannii; Monoon teysmannii; Polyalthia beccarii; Polyalthia desmantha; Polyalthia macrorhyncha; Polyalthia pycnantha; Polyalthia teysmannii; Unona desmantha; Unona pycnantha; Uvaria cauliflora,,"Polyalthia cauliflora Hook.f. & Thomson, 1855",
1089347,sanicles,sanicula_europea,,sanicle,"snakeroots; sanicles; Sanicula L., 1753",
1089437,,triumfetta_rhomboidea,Bartramia angulata; Bartramia crispifolia; Bartramia glandulosa; Bartramia indica; Bartramia lappago; Bartramia rhombifolia; Triumfetta angulata; Triumfetta bartramia; Triumfetta canacorum; Triumfetta dembianensis; Triumfetta diversifolia; Triumfetta eriocarpa; Triumfetta excisa; Triumfetta glandulosa; Triumfetta indica; Triumfetta lappula; Triumfetta martiana; Triumfetta mauritiana; Triumfetta micropetala; Triumfetta mollis; Triumfetta rhombeifolia; Triumfetta rhomboidea angulata; Triumfetta rhomboidea glandulosa; Triumfetta riparia; Triumfetta semitriloba; Triumfetta thonningiana; Triumfetta trilocularis; Triumfetta tungarensis; Triumfetta vahlii; Triumfetta velutina,,"Triumfetta bartramia; Triumfetta bartramia L.; Triumfetta rhomboidea Jacq., 1760",
1089441,,melicope_melanophloia,Dinosperma melanophloia; Melicope melanophloia,,"Melicope melanophloia; Dinosperma melanophloia (C.T.White) T.G.Hartley, 1997; Dinosperma melanophloium (C.T.White) T.G.Hartley; Melicope melanophloia C.T.White, 1918; Dinosperma melanophloium",
1089448,alpine_wintergreen,gaultheria_humifusa,Gaultheria myrsinites; Vaccinium humifusum; Vaccinium obtusum,alpine wintergreen; alpine spicy wintergreen; alpine spicywintergreen; matted wintergreen; western wintergreen,"alpine wintergreen; Gaultheria humifusa Rydb., 1900",
1089449,,gaultheria_ovatifolia,,,"Gaultheria ovatifolia A.Gray, 1883",
1089459,spurges,euphorbia_geniculata,Agaloma oerstediana; Dichylium oerstedianum; Euphorbia geniculata; Euphorbia surinamensis; Poinsettia oerstediana,,"Euphorbia geniculata; Poinsettia heterophylla; Euphorbia geniculata Ortega, 1797; Euphorbia heterophylla L., 1753; Poinsettia heterophylla (L.) Klotzsch & Garcke, 1859",
1089531,sophorae_radix,sophora_flavescens,Sophora angustifolia; Sophora flavescens angustifolia; Sophora galegoides; Sophora kronei,shrubby sophora,"Sophora flavescens Aiton, 1789; Sophora falvescens",
1089549,carolina_sphinx,manduca_sexta,,tobacco hornworm; goliath worm; Carolina Sphinx,,
1089606,,microbacterium_barkeri,Aureibacterium barkeri; Aureobacterium barkeri; Corynebacterium barkeri,,"Aureobacterium barkeri; Corynebacterium barkeri; Aureibacterium barkeri; ""Corynebacterium barkeri"" Dias et al. 1962; Aureobacterium barkeri (ex Dias et al. 1962) Collins et al. 1983; Microbacterium barkeri (Collins et al. 1983) Takeuchi and Hatano 1998; ATCC 15954; ATCC:15954; BCCM/LMG:16341; BCRC 11642; BCRC:11642; CCM 1928; CCM:1928; CCRC 11642; CCRC:11642; CCUG 33090; CCUG:33090; CIP 102692; CIP:102692; DSM 20145; DSM:20145; HAMBI 1894; HAMBI:1894; IAM 12585; IAM:12585; IFO 15036; IFO:15036; IMET 10688; IMET:10688; JCM 1343; JCM:1343; LMG 16341; LMG:16341; NBRC 15036; NBRC:15036; NCIB 9658; NCIB:9658; NCIMB 9658; NCIMB:9658; VKM Ac-1020; VKM:Ac-1020",
1089661,,asparagus_plumosus,Asparagopsis setacea; Asparagus asiaticus amharicus; Asparagus comorensis; Asparagus lujae; Asparagus plumosus; Asparagus plumosus nanus; Asparagus plumosus tenuissimus; Asparagus pyramidalis; Asparagus tenuissimus; Asparagus zanzibaricus; Protasparagus plumosus; Protasparagus setaceus,,"Asparagopsis setacea; Asparagus plumosus; Asparagus pyramidalis; Asparagus zanzibaricus; asparagus fern; Asparagopsis setacea Kunth, 1850; Asparagus plumosus Baker, 1868; Asparagus setaceus (Kunth) Jessop, 1966",
1089732,,pterocarya_paliurus,Cyclocarya paliurus micropaliurus; Pterocarya micropaliurus; Pterocarya paliurus,,"Pterocarya paliurus; qing qian liu; Cyclocarya paliurus (Batalin) Iljinsk., 1953; Pterocarya paliurus Batalin, 1893",
1089752,,biondia_hemsleyana,Biondia hemsleyana; Gongronema hemsleyana,,"Biondia hemsleyana; Gongronema hemsleyana; Biondia hemsleyana (Warb.) Tsiang, 1941; Gongronema hemsleyana Warb.. 1907; Vincetoxicum hemsleyanum (Warb.) Meve & Liede, 2018",
1090237,bloodwood,brosimum_rubescens,Alicastrum rubescens; Brosimum angustifolium; Brosimum brevipedunculatum; Brosimum caloxylon; Brosimum lanciferum; Brosimum longistipulatum; Brosimum paraense; Brosimum platyneurum; Ferolia guianensis; Parinari guyanense; Piratinera lancifera; Piratinera rubescens,bloodwood; satine,"bloodwood cacique; bloodwood; palisangre; Brosimum rubescens Taub., 1890",
1090273,,bupleurum_subovatum,Bupleurum aegyptiacum; Bupleurum de-buenii; Bupleurum heterophyllum; Bupleurum lancifolium heterophyllum; Bupleurum lancifolium subacaule; Bupleurum protractum; Bupleurum protractum heterophyllum; Bupleurum subovatum; Bupleurum subovatum subacaule; Perfoliata protracta; Selinum protractum; Tenoria protracta,,,
1090275,,dendrobium_x_superbiens,,,,
1090286,,ononis_vaginalis,,,"Ononis vaginalis Vahl, 1790",
1090290,,haliotis_iris,Haliotis iridis,paua; pāua; blackfoot pāua; rainbow abalone; rainbow paua,"paua abalone; Haliotis iris Gmelin, 1791",
1090302,,helichrysum_gymnocomum,Gnaphalium gymnocomum,,"Helichrysum gymnocomum DC., 1838",
1090359,,heteropappus_altaicus,Aster semiprostratus; Heteropappus altaicus; Heteropappus semiprostratus,,"Heteropappus altaicus; Aster altaicus Willd., 1809; Heteropappus altaicus (Willd.) Novopokr.",
1090360,,heteropappus_biennis,? biennis; Aster biennis; Aster neobiennis; Calimeris tatarica; Callistephus biennis; Heteropappus hispidus sibiricus; Heteropappus meyendorffii tataricus; Heteropappus sibiricus; Heteropappus tataricus; Heteropappus tataricus tataricus; Kalimeris biennis; Kalimeris tatarica,,"Aster biennis; Aster biennis Ledeb., 1811; Heteropappus biennis (Ledeb.) Tamamsch. ex Grubov, 1972",
1090363,,rumex_hastatus,Rumex dissectus,,"Rumex hastatus D.Don, 1825",
1090369,,achillea_nobilis,Achillea debreceniensis; Achillea nobilis delphinensis; Achillea nobilis nobilis; Achillea punctata; Achillea subnobilis,,"Achillea nobilis L., 1753",
1090385,,centaurea_kotschyi,Cheirolepis kotschyi kotschyi; Phaeopappus kotschyi kotschyi,,"Cheirolepis kotschyi; Centaurea kotschyi (Boiss.) Hayek, 1921; Cheirolepis kotschyi Boiss. & Heldr., 1849",
1090426,grey_fleshfly,sarcophaga_bullata,Neobellieria bullata; Sarcophaga (Neobellieria) bullata; Sarcophaga bison,,"Neobellieria bullata; Sarcophaga (Neobellieria) bullata; grey fleshfly; Neobellieria bullata (Parker, 1916); Sarcophaga bullata Parker, 1916",
1090428,,penstemon_confertus,,,"Penstemon confertus Douglas, 1829",
1090429,,penstemon_richardsonii,Chelone richardsonii; Penstemon rivularis,,"Penstemon richardsonii Douglas ex Lindl., 1828",
1090443,,meretrix_meretrix,Cytherea castanea; Cytherea corpulenta; Cytherea ponderosa; Meretrix labiosa; Meretrix meretrix alba; Meretrix meretrix chenui; Meretrix meretrix fulva; Meretrix meretrix hidalgoi; Venus meretrix,,"Venus meretrix; Asiatic hard clam; Meretrix meretrix (Linnaeus, 1758); Venus meretrix Linnaeus, 1758",
1090447,,lonchocarpus_subglaucescens,,,"Lonchocarpus subglaucescens Mart. ex Benth., 1860; Lonchocarpus subglacescens",
1090461,,cassia_glauca,Cassia arborescens; Cassia enneaphylla; Cassia glauca; Cassia petropolitana; Cassia sulfurea; Cassia surattensis; Cassia surattensis glauca; Senna arborescens; Senna surattensis glauca; Senna surattensis subsp. sulfurea (DC. ex Collad.) Randell; Senna surattensis sulfurea,,"Cassia glauca; Senna surattensis subsp. sulfurea (DC. ex Collad.) Randell; Cassia glauca Lam.; Senna sulfurea H.S.Irwin & Barneby, 1982",
1090466,,penicillium_brevicompactum,Penicillium biourgeianum; Penicillium brevicompactum brevicompactum; Penicillium brevicompactum magnum; Penicillium brevicompactum var. magnum; Penicillium brunneostoloniferum; Penicillium griseobrunneum; Penicillium hagemii; Penicillium monstrosum; Penicillium patris-mei; Penicillium sp. NRRL 28161; Penicillium sp. NRRL28161; Penicillium stoloniferum; Penicillium szaferi; Penicillium tabescens; Penicillium volgaense,Penicillium stoloniferum,"Penicillium brevicompactum Dierckx, 1901; ATCC 9056; ATCC-9056; ATCC9056; ATCC:9056; CBS 257.29; CBS-257.29; CBS257.29; CBS:257.29; IMI 40225; IMI-40225; IMI40225; IMI:40225; NRRL 2011; NRRL-2011; NRRL2011; NRRL:2011; Penicillium brevicompcatum",
1091013,,ficus_hispida,Covellia assamica; Covellia courtallensis; Covellia daemonum; Covellia dasycarpa; Covellia hispida; Covellia oppositifolia; Covellia setulosa; Covellia wightiana; Ficus arnottiana courtallensis; Ficus courtallensis; Ficus daemonum; Ficus fecunda; Ficus goolereea; Ficus hispida; Ficus hispida courtallensis; Ficus hispida incana; Ficus hispida viridis; Ficus hispidioides; Ficus letaqui; Ficus lima; Ficus mollis; Ficus oppositifolia; Ficus perinteregam; Ficus poilanei; Ficus prominens; Ficus sambucixylon; Ficus scabra; Ficus simphytifolia; Gonosuke demonum; Gonosuke hispida; Gonosuke scabra; Sycomorphe roxburghii,Opposite-leaved Fig,"Ficus hispida L.f., 1782",
1091017,,zygophyllum_propinquum,Zygophyllum berenicense; Zygophyllum coccineum; Zygophyllum coccineum berenicense; Zygophyllum desertorum; Zygophyllum propinquum,,"Zygophyllum propinquum; Tetraena propinqua (Decne.) Ghaz. & Osborne, 2015; Zygophyllum propinquum Decne., 1835",
1091567,black_horehound,ballota_nigra,Ballota borealis; Ballota urticifolia; Marrubium ballota; Marrubium nigrum; Marrubium nigrum oppr; Stachys ballota,Black Horehound,"black horehound; Ballota nigra L., 1753",
1091654,,baccharis_varians,Baccharis rufescens varians,,,
1091656,,tessaria_dodoneifolia,,,,
1091722,,datura_sanguinea,Brugmansia bicolor; Brugmansia rubella; Datura rosei; Datura rubella; Datura sanguinea; Solanum nigrum flavum,,,
1091724,,ectothiorhodospira_merismortui,,,,
1091732,storax,,,,"Styrax officinale; storax; Styrax officinalis L., 1753",
1091736,,ferula_sembul,,,,
1091756,,geijera_salicifolia,Geijera floribunda; Geijera latifolia; Geijera salicifolia latifolia,,"Geijera salicifolia Schott, 1834",
1091759,,flindersia_bourjotiana,Flindersia tysoni,,"Flindersia bourjotiana F.Muell., 1875",
1091771,foxgloves,digitalis_canariensis,Callianassa canariensis; Digitalis canariensis; Digitalis lurida,,"Isoplexis canariensis; Digitalis canariensis L., 1753; Isoplexis canariensis (L.) Loudon, 1829",
1091810,,virola_venosa,Myristica venosa; Myristica venosa poeppigii; Myristica venosa venosa; Palala venosa; Virola venosa; Virola venosa poeppigii; Virola venosa venosa,,,
1091811,,clidemia_sericea,Sagraea columnifolia,,"Clidemia sericea; Clidemia sericea D.Don, 1823; Miconia sericea (D.Don) Michelang., 2018",
1091816,black_widows,latrodectus_hasselti,Latrodectus hasselti ancorifer; Latrodectus hasselti aruensis; Latrodectus hasselti indicus,Latrodectus hasseltii; redback; jockey spider,"redback spider; Latrodectus hasseltii Thorell, 1870; Latrodectus hasselti",
1092343,jessamines,jasminum_primulinum,Jasminum primulinum,,jasmines; jessamines; Jasminum L.,
1092347,,cruciata_taurica,Cruciata coronata taurica; Galium coronatum tauricum; Galium tauricum; Valantia taurica,,"Cruciata taurica Ehrend., 1958",
1092352,,eupomatia_bennettii,,,"Eupomatia bennettii F.Muell., 1858; Eupomatia benettii",
1092353,,urvillea_ulmaceae,,,,
1092365,,pedicularis_plicata,,,"Pedicularis plicata Maxim., 1888",
1092379,,zanthoxylum_nigrescens,Fagara culantrillo insularis; Fagara nigrescens; Zanthoxylum atratum; Zanthoxylum nigrescens,,,
1092384,,sophora_exigua,Sophora violacea pilosa,,"Sophora exigua Craib, 1927",
