,food_com,food_sci,synonyms_open_tree_of_life,synonyms_wiki_search,synonyms_ncbi,synonyms_all_sources
147590,,pseudanabaena_sp.,,,Pseudoanabaena sp.,
147592,,aphanocapsa_alpicola,,,,
147593,,desulfurococcus_amylolyticus,Desulfurococcus fermentans; Desulfurococcus kamchatkensis,,Desulfurococcus fermentans; Desulfurococcus kamchatkensis; Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001 emend. Perevalova et al. 2016; Desulfurococcus fermentans Perevalova et al. 2005; Desulfurococcus kamchatkensis Kublanov et al. 2009; DSM 16532; DSM 18924; DSM 3822; DSM:16532; DSM:18924; DSM:3822; JCM 13383; JCM 16383; JCM 9188; JCM:13383; JCM:16383; JCM:9188; VKM B-2413; VKM V-2316; VKM:B-2413; VKM:V-2316; culture-collection:VKM:B:2413; culture-collection:VKM:V:2316; personal::1221n; personal::Z-1312; personal::Z-533; strain 1221n; strain Z-1312; strain Z-533,
147599,,variovorax_sp.,,,,
147603,,acidovorax_facilis,? facilis; Acidivorax facilis; Hydrogenomonas facilis; Pseudomonas facilis,P. facilis,Pseudomonas facilis (Schatz and Bovell 1952) Davis 1969 (Approved Lists 1980); Acidovorax facilis (Schatz and Bovell 1952) Willems et al. 1990; ATCC 11228; ATCC:11228; BCCM/LMG:2193; CCUG 2113; CCUG:2113; CFBP 2441; CFBP 3608; CFBP:2441; CFBP:3608; CIP 103302; CIP:103302; DSM 649; DSM:649; LMG 2193; LMG:2193; NRRL B-4274; NRRL:B-4274; culture-collection:NRRL:B:4274,
147605,,aphanizomenon_flos-aquae,Anabaena flosaquae; Aphanizomenon americanum; Aphanizomenon cyaneum; Aphanizomenon flosaquae; Aphanizomenon holtsaticum; Byssus flos-aquae; Conferva flosaquae; Limnochilde flosaquae; Micraloa flosaquae; Nostoc flosaquae; Oscillatoria flos-aquae; Sphaerozyga flosaquae; Trichormus flosaquae,Dolichospermum flos-aquae; Aphanizomenon flosaquae,"Aphanizomenon flosaquae; Aphanizomenon flos-aquae Ralfs ex Bornet and Flahault, 1886",Aphanizomenon flosaquae
147606,,plectonema_boryanum,Plectonema boryanum,,"Plectonema boryanum; Leptolyngbya boryana (Gomont, 1899) Anagnostidis & Komárek, 1988; Plectonema boryanum Gomont, 1899; PCC 6306; PCC:6306; Leptolyngbya boryanum",
147612,sunflowers,helianthus_maximus,,Sunflowers; Sunflowers (Van Gogh); Sunflowers Van Gogh series; Sunflowers Van Gogh,"sunflowers; Helianthus L., 1753",
147614,scarlet_runner_bean,phaseolus_coccineus,Lipusa multiflora; Phaseolus coccineus griseus; Phaseolus coccineus striatus; Phaseolus coccineus strigillosus; Phaseolus flavescens; Phaseolus formosus; Phaseolus griseus; Phaseolus harmsianus; Phaseolus leiosepalus; Phaseolus multiflorus; Phaseolus obvallatus; Phaseolus polyanthus; Phaseolus striatus; Phaseolus striatus purpurascens; Phaseolus strigillosus; Phaseolus superbus; Phaseolus sylvestris; Phaseolus vulgaris coccineus,runner bean; scarlet runner bean; multiflora bean; seven year bean; fancy bean,"Phaseolus multiflorus; scarlet runner bean; Phaseolus coccineus L., 1753; Phaseolus multiflorus Willd.",
147617,chinese_gooseberry,actinidia_deliciosa,Actinidia chinensis var. deliciosa,Actinidia latifolia var. deliciosa,"Actinidia chinensis var. deliciosa; Actinidia latifolia var. deliciosa; kiwifruit; Chinese gooseberry; Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson, 1984; Actinidia latifolia var. deliciosa A.Chev., 1940; Actinidia chinensis deliciosa",
147618,green_amaranth,amaranthus_hybridus,Amaranthus aureus; Amaranthus bellardi; Amaranthus berchtholdi; Amaranthus cathecu; Amaranthus chlorostachys; Amaranthus chlorostachys auct.; Amaranthus flavescens; Amaranthus hecticus; Amaranthus hybridus aciculatus; Amaranthus hybridus batalleri; Amaranthus hybridus chlorostachys; Amaranthus hybridus incurvatus; Amaranthus hybridus paniculatus; Amaranthus incurvatus; Amaranthus laetus; Amaranthus neglectus; Amaranthus nepalensis; Amaranthus patulus; Amaranthus patulus incurvatus; Galliaria hybrida,Smooth amaranth; Smooth pigweed; Slim amaranth; Amaranthus patulus,"Amaranthus chlorostachys auct.; Amaranthus patulus; smooth pigweed; green amaranth; slim amaranth; Amaranthus hybridus L., 1753; Amaranthus patulus Bertol.",Amaranthus patulus
147629,,panicum_milioides,,,"Panicum hians; Panicum milioides; Panicum hians Elliott, 1816; Panicum milioides Nees ex Trin., 1826; Steinchisma hians (Elliott) Nash, 1903",
147630,barnyard_grass,echinochloa_crus-galli,? mitis; ? zelayense; Echinochloa caudata; Echinochloa commutata; Echinochloa crus-corvi; Echinochloa crus-galli aristata; Echinochloa crus-galli atra; Echinochloa crus-galli austrojaponensis; Echinochloa crus-galli breviseta; Echinochloa crus-galli caudata; Echinochloa crus-galli crus-corvi; Echinochloa crus-galli echinata; Echinochloa crus-galli echinatum; Echinochloa crus-galli edulis; Echinochloa crus-galli elata; Echinochloa crus-galli exigua; Echinochloa crus-galli formosensis; Echinochloa crus-galli kasaharae; Echinochloa crus-galli longiseta; Echinochloa crus-galli mitis; Echinochloa crus-galli mixta; Echinochloa crus-galli mucronata; Echinochloa crus-galli mutica; Echinochloa crus-galli praticola; Echinochloa crus-galli pumila; Echinochloa crus-galli purpurea; Echinochloa crus-galli rohlenae; Echinochloa crus-galli spiralis; Echinochloa crus-galli submutica; Echinochloa crus-galli viridissima; Echinochloa crus-galli vittata; Echinochloa crus-galli zelayensis; Echinochloa crus-pavonis austrojaponensis; Echinochloa crus-pavonis breviseta; Echinochloa crus-pavonis praticola; Echinochloa crusgalli; Echinochloa dubia; Echinochloa echinata; Echinochloa formosensis; Echinochloa glabrescens; Echinochloa hispida; Echinochloa macrocarpa aristata; Echinochloa macrocarpa mutica; Echinochloa macrocorvi; Echinochloa madagascariensis; Echinochloa micans; Echinochloa muricata occidentalis; Echinochloa occidentalis; Echinochloa paracorvi; Echinochloa persistentia; Echinochloa pungens occidentalis; Echinochloa spiralis; Echinochloa tzvelevii; Echinochloa zelayense; Echinochloa zelayensis; Echinochloa zenkowskii; Ischaemum glabrescens; Milium crus-galli; Oplismenus crus-galli; Oplismenus crus-galli depauperatus; Oplismenus crus-galli muticus; Oplismenus dubius; Oplismenus echinatus; Oplismenus limosus; Oplismenus zelayensis; Orthopogon crus-galli; Orthopogon echinatus; Panicum cristagalli; Panicum crus-corvi; Panicum crus-galli; Panicum crus-galli angustifolium; Panicum crus-galli aquaticum; Panicum crus-galli aristatum; Panicum crus-galli aristulatum; Panicum crus-galli atra; Panicum crus-galli breviaristatum; Panicum crus-galli brevisetum; Panicum crus-galli echinatum; Panicum crus-galli exiguum; Panicum crus-galli hispidum; Panicum crus-galli longiaristatum; Panicum crus-galli longisetum; Panicum crus-galli mite; Panicum crus-galli mixtum; Panicum crus-galli muticum; Panicum crus-galli prostratum; Panicum crus-galli pumilum; Panicum crus-galli purpureum; Panicum crus-galli pygmaeum; Panicum crus-galli rohlenae; Panicum crus-galli zelayense; Panicum crus-pici; Panicum dubium; Panicum echinatum; Panicum goiranii; Panicum hispidum; Panicum limosum; Panicum numidianum; Panicum oryzetorum; Panicum polystachyum; Panicum scindens; Panicum segetale; Panicum zelayense; Pennisetum crus-galli,Japanese millet; Barnyard grass; Jungle rice; Cock's foot; Prickly grass; Cockspur grass; Echinochloa crusgalli,"Echinochloa crusgalli; Panicum crus-galli; barnyard grass; cockspur grass; common barnyard grass; Echinochloa crus-galli (L.) P.Beauv., 1812; Panicum crus-galli L., 1753; Echinochloa crus; Echinochloa crusi-galli",Echinochloa crusgalli
147631,,lemna_paucicostata,Lemna aequinoctiales; Lemna angolensis; Lemna aoukikusa; Lemna aoukikusa hokurikuensis; Lemna blatteri; Lemna eleanorae; Lemna eleonorae; Lemna leiboensis; Lemna minima; Lemna paucicostata; Lemna paucicostata membranacea; Lemna perpusilla trinervis; Lemna trinervis,,"Lemna paucicostata; Lemna aequinoctialis Welw., 1859; Lemna paucicostata Hegelm. ex Engelm., 1868; Lemna aequinoctiatis",
147633,,mycoplasma_pneumoniae,Filterable agent of primary atypical pneumonia; Mycoplasmoides pneumoniae; Mycoplasmoides pneumoniae (Somerson et al. 1963) Gupta et al. 2018; Schizoplasma pneumoniae,,,
147643,,mycoplasma_pulmonis,Asterococcus pulmonis; Murimyces pulmonis; Musculomyces histotropicus; Mycoplasma histotropicus; Mycoplasma mergenhagen,,,
147644,,mycoplasma_fermentans,Asterococcus fermentans; Micromyces hominis group II; Schizoplasma fermentans,,"Asterococcus fermentans; Micromyces hominis group II; Mycoplasma fermentans; Schizoplasma fermentans; ""Asterococcus fermentans"" (Edward 1955) Prevot 1961; ""Micromyces hominis group II"" Freundt 1954; ""Schizoplasma fermentans"" (Edward 1955) Furness 1970; Mycoplasma fermentans Edward 1955; Mycoplasmopsis fermentans (Edward 1955) Gupta et al. 2018; ATCC 19989; ATCC:19989; IFO 14854; IFO:14854; NBRC 14854; NBRC:14854; NCTC 10117; NCTC:10117; personal::PG18; stain PG 18; strain PG18",
147649,,crassostrea_virginica,Crassostrea brasiliana; Crassostrea floridensis; Dioeciostrea americana; Lopha gibsonsmithi; Ostraea floridensis; Ostraea reniformis; Ostraea rostrata; Ostrea borealis; Ostrea canadensis; Ostrea floridensis; Ostrea procyon; Ostrea reniformis; Ostrea rostrata; Ostrea triangularis; Ostrea virginiana; Ostrea virginica,Eastern oyster,"Ostrea virginica; eastern oyster; Ostrea virginica Gmelin, 1791; Crassotrea virginica",
147650,,actinidia_polygama,Actinidia inflammans; Actinidia lecomtei; Actinidia polygama latifolia; Actinidia polygama lecomtei; Actinidia repanda; Actinidia volubilis; Trochostigma polygama; Trochostigma volubile,silver vine,"Actinidia polygama Planch. ex Maxim., 1859; Actinidia polygnana",
147654,,loxosceles_laeta,Loxosceles bicolor; Loxosceles longipalpis; Loxosceles nesophila; Loxosceles yura; Omosita bicolor; Scytodes laeta; Scytodes nigella; Scytodes rufipes,,"Scytodes laeta; Scytodes laeta Nicolet, 1849",
147655,grand_fir,abies_grandis,Abies aromatica; Abies excelsior; Abies gordoniana; Abies grandis grandis; Abies grandis idahoensis; Abies lasiocarpa; Picea grandis; Pinus grandis,giant fir; lowland white fir; great silver fir; western white fir; Vancouver fir; Oregon fir; hem fir; coast grand fir; interior grand fir; grand fir,"Pinus grandis; grand fir; lowland white fir; sapin grandissime; yellow fir; Abies grandis (Douglas ex D.Don) Lindl., 1833; Pinus grandis Douglas ex. D.Don, 1832",
147656,,cyanidium_caldarium,Pluto calderium; Protococcus botryoides caldarius; Rhodococcus caldarius; plastid Cyanidium caldarium,,"Protococcus botryoides f. caldarium; plastid Cyanidium caldarium; Cyanidium caldarium (Tilden) Geitler, 1933; Protococcus botryoides f. caldarium Tilden, 1898; SAG 16.91; SAG:16.91; RK-1",
147663,,ochromonas_danica,,,"Ochromonas danica Pringsheim, 1955; SAG 933-7; SAG-933-7; SAG933-7; SAG:933-7",
147664,,ilyanassa_obsoleta,Buccinum noveboracensis; Buccinum oliviforme; Ilyanassa obsoleta; Nassa obsoleta; Nassarius obsoletus,,"Ilyanassa obsoleta; Nassa obsoleta; Nassarius obsoletus; Nassa obsoleta Say, 1822; Tritia obsoleta (Say, 1822)",
147665,,nucella_lapillus,Buccinum filosa; Buccinum filosum; Buccinum lapillus; Nassa ligata; Nassa rudis; Nucella lapillus major; Nucella lapillus minor; Nucella theobroma; Purpura bizonalis; Purpura buccinoidea; Purpura celtica; Purpura imbricata; Purpura lapillina; Purpura lapillus; Purpura lapillus anomala; Purpura lapillus aurantia; Purpura lapillus bizonalis; Purpura lapillus caerulescens; Purpura lapillus castanea; Purpura lapillus celtica; Purpura lapillus citrina; Purpura lapillus crassissima; Purpura lapillus fauce-violaceo; Purpura lapillus fusco-apicata; Purpura lapillus lactea; Purpura lapillus major; Purpura lapillus minor; Purpura lapillus mixta; Purpura lapillus monozonalis; Purpura lapillus ponderosa; Purpura lineolata; Thais lapillus,Dog whelk,"Buccinum lapillus; Buccinum lapillus Linnaeus, 1758; Nucella lapillus (Linnaeus, 1758)",
147670,,aneurinibacillus_thermoaerophilus,Bacillus brevis ATCC 12990; Bacillus thermoaerophilus,,Bacillus thermoaerophilus; Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997; Bacillus thermoaerophilus Meier-Stauffer et al. 1996; ATCC 700303; ATCC:700303; BCCM/LMG:17165; CIP 104816; CIP 105494; CIP:104816; CIP:105494; DSM 10154; DSM:10154; LMG 17165; LMG:17165; personal::L420-91; strain L 420-91; strain L420-91,
147674,,lactobacillus_gasseri,,,Lactobacillus gasseri Lauer and Kandler 1980; ATCC 33323; ATCC:33323; BCCM/LMG:9203; CCUG 31451; CCUG:31451; CIP 102991; CIP:1029691; CIP:102991; DSM 20243; DSM:20243; JCM 1131; JCM:1131; LMG 9203; LMG:9203; NCDO 2233; NCDO:2233; NCIB 11718; NCIB:11718; NCIMB:11718; NCTC 13722; NCTC:13722; NRRL B-14168; NRRL B-4240; NRRL:B-14168; NRRL:B-4240; NRRL:B:14168; NRRL:B:4240; personal::63 AM; strain 63 AM,
147677,,streptococcus_equisimilis,Streptococcus equisimilis,,"Streptococcus dysgalactiae subsp. equisimilis Vandamme et al. 1996; Streptococcus equisimilis; ""Streptococcus equisimilis"" Frost and Engelbrecht 1936 (human strains); Streptococcus dysgalactiae subsp. equisimilis Vandamme et al. 1996 emend. Vieira et al. 1998; BCCM/LMG:16026; CCUG 36637; CCUG 36913; CCUG:36637; CCUG:36913; CIP 105120; CIP:105120; DSM 23147; DSM:23147; LMG 16026; LMG:16026; NCFB 1356; NCFB:1356; NCIMB 701356; NCIMB:701356",
147682,,propionibacterium_freudenreichii_subsp._shermanii,Propionibacterium freudenreichii shermanii; Propionibacterium shermanii; Propionicibacterium freudenreichii subsp. shermanii,,"Propionibacterium freudenreichii shermanii; Propionibacterium shermanii; Propionicibacterium freudenreichii subsp. shermanii; ""Propionibacterium shermanii"" van Niel 1928; Propionibacterium freudenreichii subsp. shermanii (van Niel 1928) Holdeman and Moore 1970; ATCC 9614; ATCC:9614; BCCM/LMG:16424; CCUG 36819; CCUG:36819; CIP 103027; CIP:103027; DSM 4902; DSM:4902; LMG 16424; LMG:16424; NCTC 13653; NCTC:13653",
147683,,corynebacterium_pseudotuberculosis,Bacillus pseudotuberculosis; Bacillus pseudotuberculosis-ovis; Corynebacterium ovis; Corynebacterium preisz-nocardi; Corynebacterium pseudotuberculosis-ovis; Mycobacterium tuberculosis-ovis,,"Bacillus pseudotuberculosis; Bacillus pseudotuberculosis-ovis; Corynebacterium ovis; Corynebacterium preisz-nocardi; Corynebacterium pseudotuberculosis-ovis; Mycobacterium tuberculosis-ovis; ""Bacillus pseudotuberculosis"" Buchanan 1911; ""Bacillus pseudotuberculosis-ovis"" Lehmann and Neumann 1896; ""Corynebacterium ovis"" Bergey et al. 1923; ""Corynebacterium preisz-nocardi"" Hauduroy et al. 1937; ""Corynebacterium pseudotuberculosis-ovis"" (Lehmann and Neumann 1896) Hauduroy et al. 1937; ""Mycobacterium tuberculosis-ovis"" Krasil'nikov 1941; Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918; Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918 emend. Nouioui et al. 2018; ATCC 19410; ATCC:19410; CCUG 2806; CCUG:2806; CIP 102968; CIP:102968; DSM 20689; DSM:20689; IFO 15363; IFO:15363; JCM 9389; JCM:9389; NBRC 15363; NBRC:15363; NCTC 3450; NCTC:3450",
147698,,zoogloea_ramigera,,,Zoogloea ramigera Itzigsohn 1868 (Approved Lists 1980); Zoogloea ramigera Itzigsohn 1868 (Approved Lists 1980) emend. Dahal et al. 2020; ATCC 19544; ATCC:19544; BCCM/LMG:17136; CCUG 35504; CCUG:35504; CIP 107119; CIP:107119; IAM 12136; IAM:12136; IFO 15342; IFO:15342; LMG 17136; LMG:17136; NBRC 15342; NBRC:15342; NCTC 13030; NCTC:13030; NRRL B-3691; NRRL:B-3691; culture-collection:NRRL:B:3691,
147699,northern_quahog,mercenaria_mercenaria,Crassivenus mercenaria; Mercenaria cancellata; Mercenaria fulgurans; Mercenaria kennicotti; Mercenaria notata; Mercenaria rutila; Mercenaria rutila rarilineata; Mercenaria violacea; Venus cyprinoides; Venus mercenaria; Venus mercenaria alba; Venus mercenaria antiqua; Venus mercenaria notata; Venus mercenaria radiata; Venus mercenaria subradiata; Venus notata; Venus obliqua; Venus submercenaria; Venus ziczac,round clam; quahaug; quahog,"Venus mercenaria; northern quahog; Venus mercenaria Linnaeus, 1758",
